epoch,accuracy,loss,val_accuracy,val_loss
0,0.9784383773803711,0.07380856573581696,0.9807838201522827,0.06609039753675461
1,0.9829203486442566,0.05432119220495224,0.9862538576126099,0.03872165083885193
2,0.9805588722229004,0.0630720928311348,0.9858384728431702,0.03843679651618004
3,0.9841984510421753,0.04812783747911453,0.9861962795257568,0.038610804826021194
4,0.9853990077972412,0.04438520595431328,0.9872326254844666,0.034458331763744354
5,0.9844525456428528,0.04485221952199936,0.9860223531723022,0.038523245602846146
6,0.9850373268127441,0.044039536267519,0.9875326752662659,0.03363899514079094
7,0.9863541126251221,0.040252964943647385,0.9873372316360474,0.036073096096515656
8,0.9863329529762268,0.03946108743548393,0.9873000383377075,0.03517154976725578
9,0.979522168636322,0.07306921482086182,0.9710204005241394,0.11719238013029099
10,0.9754927158355713,0.0797271877527237,0.9854983687400818,0.04119773954153061
11,0.9836724400520325,0.05140738934278488,0.9867322444915771,0.03707887977361679
12,0.9848573803901672,0.045698221772909164,0.9872884154319763,0.033971548080444336
13,0.9853044748306274,0.0443270318210125,0.9876602292060852,0.03364456817507744
14,0.9827802777290344,0.04918159171938896,0.9868748784065247,0.03426181152462959
15,0.9858119487762451,0.04098288342356682,0.9872158765792847,0.03476080670952797
16,0.9840828776359558,0.04572409391403198,0.9869959354400635,0.03543587774038315
17,0.9848374128341675,0.043737418949604034,0.9867573380470276,0.03596724942326546
18,0.9859065413475037,0.040635984390974045,0.9876152276992798,0.03345781937241554
19,0.9865849614143372,0.03863789141178131,0.9870968461036682,0.03553592041134834
20,0.98663330078125,0.03730383515357971,0.9875224232673645,0.03409601375460625
21,0.9868383407592773,0.03715335205197334,0.9876295328140259,0.0345415323972702
22,0.9870263934135437,0.036059536039829254,0.9878841042518616,0.03362221643328667
23,0.9872888326644897,0.03501573204994202,0.988134503364563,0.031003784388303757
24,0.9854341149330139,0.04113802686333656,0.9875970482826233,0.03371939808130264
25,0.9840630888938904,0.04524215683341026,0.9803865551948547,0.05049106478691101
26,0.983833372592926,0.04602285102009773,0.9770988821983337,0.0549379363656044
27,0.9828653335571289,0.04572102427482605,0.983711302280426,0.04275570809841156
28,0.9862957000732422,0.03703863173723221,0.9870577454566956,0.034441910684108734
29,0.9858633279800415,0.037859294563531876,0.9850863814353943,0.04315575584769249
30,0.9875776171684265,0.0365588404238224,0.9879422187805176,0.04089996591210365
31,0.9882296323776245,0.03772583231329918,0.9807249903678894,0.04923974722623825
32,0.9874758124351501,0.03574395179748535,0.988145112991333,0.033889684826135635
33,0.9886627793312073,0.03031841851770878,0.9878132939338684,0.03410644456744194
34,0.988837718963623,0.028495067730545998,0.9878990054130554,0.032671038061380386
35,0.9875887036323547,0.030942073091864586,0.9878249168395996,0.03393986076116562
36,0.9882096648216248,0.030257761478424072,0.9874162673950195,0.036975402384996414
37,0.9889965057373047,0.02767062745988369,0.9880900979042053,0.03192932531237602
38,0.9887316226959229,0.027668684720993042,0.9880957007408142,0.032902151346206665
39,0.9827523231506348,0.047756582498550415,0.9862425327301025,0.036554791033267975
40,0.9878587126731873,0.0310085266828537,0.987205982208252,0.035538073629140854
41,0.9886749386787415,0.028542567044496536,0.988091766834259,0.0323854461312294
42,0.9889187812805176,0.027644284069538116,0.988018274307251,0.031617287546396255
43,0.9896700382232666,0.02517583779990673,0.9875432252883911,0.036519698798656464
44,0.9899730086326599,0.02443707175552845,0.9875702261924744,0.03570534661412239
45,0.9889746904373169,0.026963314041495323,0.9876576662063599,0.033832624554634094
46,0.9895369410514832,0.025290019810199738,0.98807293176651,0.03398774936795235
47,0.9894413352012634,0.025679200887680054,0.9880159497261047,0.0341770239174366
48,0.9891732931137085,0.02785188890993595,0.9873414039611816,0.0353638157248497
49,0.988238513469696,0.03023439086973667,0.9869078993797302,0.038765352219343185
